"cr0001_who_are_you";"Who are you?"
"cr0002_passenger";"Passenger"
"cr0003_driver";"Driver"
"cr0004_you_have_no_accepted_requests";"You have no requests"
"cr0005_you_have_no_cancelled_rides";"You have no cancelled rides"
"cr0006_you_have_no_completed_rides";"You have no completed rides"
"cr0007_you_have_no_payment";"You have no payment"
"cr0008_you_have_no_pending_requests";"You have no pending requests"
"cr0009_you_have_no_vehicle";"You have no vehicle"
"cr0010_cabride";"CabRide"
"cr0011_pending_requests";"Pending requests"
"cr0012_accepted_requests";"Accepted requests"
"cr0013_completed_rides";"Completed rides"
"cr0014_cancelled";"Cancelled"
"cr0015_vehicle_information";"Vehicle information"
"cr0016_payment_history";"Payment history"
"cr0017_pickup_location";"Pick-up Location"
"cr0018_dropoff_location";"Drop-off Location"
"cr0019_dialog_location";"Location"
"cr0020_sorry_we_are_unable_to_locate_you_please_check_your_gps_settings_and_authorization";"Sorry we are unable to locate you, please check your GPS settings & authorization."
"cr0021_dialog_ok";"OK"
"cr0022_dialog_position";"Position"
"cr0023_your_position_doesnt_resolve_to_a_valid_address";"Your position doesn't resolve to a valid address."
"cr0024_set_pickup_location";"Set Pick-Up Location"
"cr0025_set_dropoff_location";"Set Drop-Off Location"