"cr0001_who_are_you";"Vous êtes?"
"cr0002_passenger";"Passager"
"cr0003_driver";"Conducteur"
"cr0004_you_have_no_accepted_requests";"Aucune course acceptée."
"cr0005_you_have_no_cancelled_rides";"Aucune course annulée."
"cr0006_you_have_no_completed_rides";"Aucune course terminée."
"cr0007_you_have_no_payment";"Aucun paiement."
"cr0008_you_have_no_pending_requests";"Aucune demande en attente."
"cr0009_you_have_no_vehicle";"Aucun véhicule."
"cr0010_cabride";"CabRide"
"cr0011_pending_requests";"Demandes en attente"
"cr0012_accepted_requests";"Courses acceptées"
"cr0013_completed_rides";"Courses terminées"
"cr0014_cancelled";"Courses/Demandes annulées"
"cr0015_vehicle_information";"Information du véhicule"
"cr0016_payment_history";"Paiements"
"cr0019_dialog_location";"Position"
"cr0020_sorry_we_are_unable_to_locate_you_please_check_your_gps_settings_and_authorization";"Nous ne sommes pas en mesure de vous localiser, merci de vérifier vos paramètres de localisation."
"cr0021_dialog_ok";"OK"
"cr0022_dialog_position";"Position"
"cr0023_your_position_doesnt_resolve_to_a_valid_address";"Votre localisation ne correspond à aucune adresse valide."
"cr0024_set_pickup_location";"Définir comme Départ"
"cr0025_set_dropoff_location";"Définir comme Destination"